本日零時到現在累積雨量                                                          
07-NOV-2020 00:00 ～ 07-NOV-2020 23:00                          
    200.5mm 東吉島   澎湖縣望安鄉(氣象站)                
    173.0mm 金山     新北市金山區                       
     87.0mm 望安     澎湖縣望安鄉(第6河川局)             
     81.5mm 富貴角   新北市石門區                       
     71.0mm 水試所七 臺南市七股區                       
     65.0mm 茄萣     高雄市茄萣區                       
     64.5mm 安南     臺南市安南區                       
     63.0mm 大漢山   屏東縣春日鄉                       
     63.0mm 七股研究 臺南市七股區(合作站)                
     61.0mm 七股     臺南市七股區                       
     56.0mm 永康     臺南市永康區(氣象站)                
     55.0mm 安平     臺南市安平區                       
     52.5mm 安定     臺南市安定區                       
     49.5mm 西大武山 屏東縣泰武鄉                       
     49.5mm 佳里     臺南市佳里區                       
     49.0mm 臺南     臺南市中西區(氣象站)                
     48.5mm 勝林山   臺東縣達仁鄉                       
     47.5mm 臺南市北 臺南市北區                         
     46.5mm 萬里國小 新北市萬里區(水保局)                
     45.0mm 臺南市南 臺南市南區                         
     45.0mm 楠梓     高雄市楠梓區                       
     44.5mm 三和     新北市金山區                       
     43.0mm 土阪     臺東縣達仁鄉                       
     43.0mm 旗津     高雄市旗津區                       
     42.5mm 梓官     高雄市梓官區                       
     41.5mm 琉球嶼   屏東縣琉球鄉                       
     41.0mm 永安     高雄市永安區                       
     41.0mm 彌陀     高雄市彌陀區                       
     40.0mm 仁德     臺南市仁德區                       
     39.0mm 路竹     高雄市路竹區                       
     38.5mm 湖內     高雄市湖內區                       
     38.5mm 左營     高雄市左營區                       
     38.5mm 花嶼     澎湖縣望安鄉                       
     38.0mm 高雄     高雄市前鎮區(氣象站)                
     37.5mm 大溪山   臺東縣太麻里鄉                     
     37.0mm 將軍     臺南市將軍區                       
     35.0mm 紹家     臺東縣達仁鄉(第8河川局)             
     34.5mm 白沙灣   新北市石門區                       
     34.0mm 鼻頭角   新北市瑞芳區                       
     34.0mm 西港     臺南市西港區                       
     34.0mm 岡山     高雄市岡山區                       
     34.0mm 三民     高雄市三民區                       
     33.5mm 新興     高雄市新興區                       
     33.0mm 金針山   臺東縣金峰鄉(第8河川局)             
     31.5mm 媽廟     臺南市歸仁區                       
     31.5mm 橋頭     高雄市橋頭區                       
     31.5mm 牡丹     屏東縣牡丹鄉                       
     31.0mm 丹路     屏東縣獅子鄉                       
     30.5mm 鼓山     高雄市鼓山區                       
     30.0mm 萬丹     屏東縣萬丹鄉                       
     30.0mm 丹路國小 屏東縣獅子鄉(水保局)                
     29.0mm 富貴角   新北市石門區(十河局)                
     28.0mm 利嘉林道 臺東縣卑南鄉                       
     28.0mm 歷坵     臺東縣金峰鄉                       
     27.5mm 檳榔     屏東縣滿州鄉                       
     27.0mm 愛國埔分 臺東縣大武鄉(水保局)                
     27.0mm 荖溪     花蓮縣秀林鄉                       
     25.5mm 頭城     宜蘭縣頭城鎮                       
     25.0mm 大武     臺東縣大武鄉(氣象站)                
     25.0mm 阿公店   高雄市燕巢區                       
     25.0mm 尖山     高雄市燕巢區                       
     24.0mm 北門     臺南市北門區                       
     24.0mm 沙崙     臺南市歸仁區                       
     24.0mm 阿蓮     高雄市阿蓮區                       
     24.0mm 知本(5)  臺東縣太麻里鄉(第8河川局)           
     24.0mm 阿蓮(2)  高雄市阿蓮區(第6河川局)             
     23.5mm 苓雅     高雄市苓雅區                       
     23.5mm 仁武     高雄市仁武區                       
     22.5mm 澎湖     澎湖縣馬公市(氣象站)                
     22.5mm 鳳山     高雄市鳳山區                       
     22.0mm 鳳森     高雄市小港區                       
     21.5mm 鶯子嶺   宜蘭縣頭城鎮                       
     21.5mm 大社     高雄市大社區                       
     21.0mm 鳳山農試 高雄市鳳山區(合作站)                
     21.0mm 豐濱     花蓮縣豐濱鄉                       
     21.0mm 大寮     高雄市大寮區                       
     20.5mm 大鳥     臺東縣大武鄉(水保局)                
     20.0mm 石門     屏東縣牡丹鄉(第7河川局)             
     20.0mm 金崙山   臺東縣太麻里鄉                     
     19.5mm 泰平     新北市雙溪區                       
     19.5mm 林園     高雄市林園區                       
     19.0mm 賓茂國小 臺東縣太麻里鄉(第8河川局)           
     18.5mm 福隆     新北市貢寮區                       
     18.5mm 金峰     臺東縣金峰鄉                       
     18.0mm 西林     花蓮縣萬榮鄉(第9河川局)             
     18.0mm 山豬窟   臺東縣大武鄉                       
     18.0mm 吉林國小 新北市貢寮區(第1河川局)             
     17.0mm 新庄國小 屏東縣萬丹鄉(第7河川局)             
     17.0mm 獅子     屏東縣獅子鄉                       
     17.0mm 太平     新北市雙溪區(翡翠水庫)              
     16.5mm 嘉南水利 臺南市學甲區(合作站)                
     16.5mm 彭佳嶼   基隆市中正區(氣象站)                
     16.0mm 新東礦   花蓮縣萬榮鄉(第9河川局)             
     16.0mm 南仁湖   屏東縣滿州鄉                       
     16.0mm 知本     臺東縣卑南鄉                       
     15.5mm 新園     屏東縣新園鄉                       
     15.5mm 阿禮     屏東縣霧臺鄉                       
     14.5mm 龍泉     屏東縣內埔鄉                       
     14.5mm 太安     花蓮縣萬榮鄉                       
     14.5mm 玉蘭     宜蘭縣大同鄉                       
     14.5mm 加津林   臺東縣大武鄉                       
     14.0mm 華源     臺東縣太麻里鄉                     
     14.0mm 東港     屏東縣東港鎮                       
     14.0mm 吉貝     澎湖縣白沙鄉(合作站)                
     14.0mm 大坪     新北市萬里區                       
     14.0mm 三貂角   新北市貢寮區                       
     14.0mm 雙溪     新北市雙溪區                       
     13.5mm 四林格山 屏東縣牡丹鄉                       
     13.0mm 火燒寮   新北市平溪區(十河局)                
     13.0mm 金崙     臺東縣太麻里鄉                     
     13.0mm 神山     屏東縣霧臺鄉(第7河川局)             
     13.0mm 屏東(5)  屏東縣屏東市(第7河川局)             
     13.0mm 金山     高雄市燕巢區(第6河川局)             
     12.5mm 麻豆     臺南市麻豆區                       
     12.5mm 石門山   屏東縣牡丹鄉                       
     12.5mm 桃源谷   宜蘭縣頭城鎮                       
     12.5mm 達仁林場 臺東縣達仁鄉                       
     12.5mm 學甲     臺南市學甲區                       
     12.0mm 三棧     花蓮縣秀林鄉                       
     12.0mm 東港工作 屏東縣東港鎮(合作站)                
     12.0mm 太麻里1  臺東縣太麻里鄉(合作站)              
     12.0mm 向陽     臺東縣海端鄉                       
     11.5mm 瑞芳     新北市瑞芳區                       
     11.5mm 高士     屏東縣牡丹鄉                       
     11.5mm 布洛灣   花蓮縣秀林鄉                       
     11.5mm 關廟     臺南市關廟區                       
     11.0mm 牡丹池山 屏東縣牡丹鄉                       
     11.0mm 崁頂     屏東縣崁頂鄉(第7河川局)             
     11.0mm 射馬干   臺東縣卑南鄉(水保局)                
     11.0mm 向陽(2)  臺東縣海端鄉(第8河川局)             
     11.0mm 牡丹     屏東縣牡丹鄉(第7河川局)             
     11.0mm 保力     臺東縣車城鄉                       
     10.5mm 火燒寮   新北市平溪區                       
     10.5mm 太麻里   臺東縣太麻里鄉                     
     10.0mm 下營     臺南市下營區                       
     10.0mm 香蘭     臺東縣太麻里鄉                     
     10.0mm 潮州     屏東縣潮州鎮                       
     10.0mm 平溪旅遊 新北市平溪區(十河局)                
     10.0mm 壽卡     屏東縣獅子鄉(第7河川局)             
      9.5mm 中坑     臺中市和平區                       
      9.5mm 土場     宜蘭縣大同鄉                       
      9.5mm 基隆     基隆市仁愛區(氣象站)                
      9.5mm 南州     屏東縣南州鄉                       
      9.5mm 崁頂     屏東縣崁頂鄉                       
      9.0mm 土場(1)  宜蘭縣大同鄉(第1河川局)             
      9.0mm 擎天崗   臺北市士林區(大地工程處)            
      9.0mm 東里     花蓮縣富里鄉                       
      9.0mm 西林     花蓮縣萬榮鄉                       
      9.0mm 豐濱     花蓮縣豐濱鄉(第9河川局)             
      9.0mm 五分山   新北市瑞芳區                       
      9.0mm 東澳嶺   宜蘭縣南澳鄉                       
      9.0mm 馬太安   花蓮縣萬榮鄉(第9河川局)             
      8.5mm 利嘉     臺東縣卑南鄉                       
      8.5mm 麟洛     屏東縣麟洛鄉                       
      8.5mm 鹽水     臺南市鹽水區                       
      8.5mm 長治     屏東縣長治鄉                       
      8.5mm 布袋     嘉義縣布袋鎮                       
      8.5mm 新市     臺南市新市區                       
      8.0mm 墾丁     屏東縣恆春鎮                       
      8.0mm 上林國小 新北市雙溪區(第1河川局)             
      8.0mm 瑞芳     新北市瑞芳區(十河局)                
      8.0mm 大漢山   屏東縣春日鄉(第7河川局)             
      8.0mm 七堵     基隆市七堵區                       
      8.0mm 龍澗     花蓮縣秀林鄉                       
      8.0mm 牛鬥     宜蘭縣大同鄉                       
      7.5mm 基隆嶼   基隆市中正區                       
      7.5mm 坪林     新北市坪林區(翡翠水庫)              
      7.0mm 金峰嘉蘭 臺東縣金峰鄉                       
      7.0mm 員山子   新北市瑞芳區(十河局)                
      7.0mm 溪埔     高雄市大樹區                       
      7.0mm 屏東     屏東縣屏東市                       
      7.0mm 虎頭埤   臺南市新化區(第6河川局)             
      7.0mm 蘭嶼燈塔 臺東縣蘭嶼鄉                       
      7.0mm 金峰鄉公 臺東縣金峰鄉(水保局)                
      6.5mm 九芎根   新北市石碇區(翡翠水庫)              
      6.5mm 蘇澳     宜蘭縣蘇澳鎮(氣象站)                
      6.5mm 十三股   新北市石碇區(翡翠水庫)              
      6.5mm 坪林石牌 宜蘭縣頭城鎮                       
      6.5mm 小油坑   臺北市北投區(大地工程處)            
      6.5mm 林邊     屏東縣林邊鄉                       
      6.0mm 宜梧     雲林縣口湖鄉                       
      6.0mm 大觀     花蓮縣萬榮鄉                       
      6.0mm 東後寮   嘉義縣義竹鄉                       
      6.0mm 太閣南   新竹縣五峰鄉                       
      6.0mm 東石     嘉義縣東石鄉                       
      6.0mm 碧湖     新北市坪林區(翡翠水庫)              
      6.0mm 臺東     臺東縣臺東市(氣象站)                
      6.0mm 五堵     基隆市七堵區(十河局)                
      6.0mm 古亭坑   高雄市田寮區                       
      6.0mm 恆春畜試 屏東縣恆春鎮(合作站)                
      6.0mm 四堵     新北市坪林區                       
      6.0mm 崎頂     臺南市龍崎區                       
      6.0mm 碧湖     新北市坪林區(十河局)                
      6.0mm 大里國小 宜蘭縣頭城鎮(水保局)                
      6.0mm 佳樂水   屏東縣滿州鄉                       
      5.5mm 滿州     屏東縣滿州鄉                       
      5.5mm 安通山   花蓮縣玉里鎮                       
      5.5mm 虎頭埤   臺南市新化區                       
      5.5mm 義竹分場 嘉義縣義竹鄉(合作站)                
      5.5mm 高雄農改 屏東縣長治鄉(合作站)                
      5.5mm 文山茶改 新北市石碇區(合作站)                
      5.0mm 茶製場   臺北市南港區(大地工程處)            
      5.0mm 三貂嶺   新北市瑞芳區(十河局)                
      5.0mm 南礦     苗栗縣南庄鄉                       
      5.0mm 南鵝     臺東縣卑南鄉(第8河川局)             
      5.0mm 竹田     屏東縣竹田鄉                       
      5.0mm 柑林國小 新北市雙溪區(水保局)                
      5.0mm 烏石鼻   宜蘭縣蘇澳鎮                       
      5.0mm 台東(7)  臺東縣臺東市(第8河川局)             
      5.0mm 坪林     新北市坪林區                       
      5.0mm 外坪五指 新竹縣北埔鄉                       
      5.0mm 都蘭     臺東縣東河鄉                       
      5.0mm 泗林     屏東縣潮州鎮(第7河川局)             
      5.0mm 士文     屏東縣春日鄉(第7河川局)             
      4.5mm 佳心     花蓮縣卓溪鄉                       
      4.5mm 佳冬     屏東縣佳冬鄉                       
      4.5mm 高樹     屏東縣高樹鄉                       
      4.5mm 畜試所   臺南市新化區(合作站)                
      4.5mm 永樂國小 宜蘭縣蘇澳鎮(水保局)                
      4.5mm 朴子     嘉義縣朴子市                       
      4.5mm 九如     屏東縣九如鄉                       
      4.5mm 蔦松     雲林縣水林鄉                       
      4.5mm 檳榔四格 臺東縣卑南鄉                       
      4.5mm 鴛鴦湖   宜蘭縣大同鄉                       
      4.5mm 板橋     新北市板橋區(氣象站)                
      4.5mm 瑪家     屏東縣瑪家鄉                       
      4.5mm 善化     臺南市善化區                       
      4.5mm 上德文   屏東縣三地門鄉                     
      4.5mm 清水林   臺中市太平區                       
      4.5mm 北關     宜蘭縣頭城鎮                       
      4.5mm 大津     高雄市六龜區                       
      4.5mm 瑞穗林道 花蓮縣卓溪鄉                       
      4.5mm 龍磐     屏東縣恆春鎮                       
      4.5mm 大坪頂   屏東縣恆春鎮                       
      4.0mm 鳥嘴山   新竹縣尖石鄉                       
      4.0mm 太魯閣   花蓮縣秀林鄉                       
      4.0mm 臺南農改 臺南市新化區(合作站)                
      4.0mm 水林     雲林縣水林鄉                       
      4.0mm 梵梵(2)  宜蘭縣大同鄉(第1河川局)             
      4.0mm 口湖     雲林縣口湖鄉                       
      4.0mm 新瑪家   屏東縣瑪家鄉(第7河川局)             
      4.0mm 旭海     屏東縣牡丹鄉                       
      4.0mm 枋寮     屏東縣枋寮鄉                       
      4.0mm 鹿草     嘉義縣鹿草鄉                       
